question	answer
How many medals and trophies in the games room	98-108
How many proboscis imbibers are potty?	24
Estimate the volume of the swimming pool in m^3	25-35
It's white to move. What's their best move?	d5
How many bottles does Jacob's youngest and Bristol's finest engineer have stored up	2, two
Six fruits indicate a postcode of a capital place of worship	EC4N 7HB,WC2R 1DH
N small batons enrage with aromatic fumes	32-34
What exclamation is the bathroom crying out?	O!,O
The grandchildren are watching you. How many?	65-75
Without opening the carrot, estimate the number of seeds inside	88-97
What element and compound does an ailing ford's label suggest?	Mercury and Diazepam,Mercury Diazepam,Mecury & Diazepam
The treasure is found in 3.14159!	
